date,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera
1/17/2016,gun,52,Male,Black,St. Louis,MO,FALSE,attack,Not fleeing,FALSE
1/29/2018,knife,52,Male,Black,Bronx,NY,FALSE,other,Foot,TRUE
5/2/2016,gun,52,Male,Black,Greenville,SC,FALSE,attack,Not fleeing,FALSE
6/9/2016,gun,52,Male,Black,Port Arthur,TX,FALSE,other,Foot,FALSE
4/15/2015,toy weapon,52,Male,Hispanic,Montclair,CA,TRUE,attack,Not fleeing,FALSE
2/6/2017,knife,52,Male,Hispanic,Santa Monica,CA,TRUE,attack,Foot,FALSE
10/6/2017,gun,52,Male,Hispanic,Miami,FL,FALSE,other,Foot,FALSE
2/15/2016,gun,52,Male,Hispanic,Jal,NM,FALSE,attack,Not fleeing,FALSE
7/17/2017,gun,52,Male,Hispanic,Las Cruces,NM,FALSE,attack,Not fleeing,TRUE
1/27/2016,gun,52,Male,White,Mountain Pine,AR,FALSE,attack,Not fleeing,FALSE
4/20/2016,unknown weapon,52,Male,White,Perryville,AR,FALSE,other,Not fleeing,FALSE
11/25/2015,gun,52,Male,White,Eagar,AZ,FALSE,attack,Not fleeing,FALSE
1/5/2016,gun,52,Male,White,Redding,CA,TRUE,other,Not fleeing,FALSE
5/2/2015,gun,52,Male,White,Smyrna,DE,FALSE,attack,Not fleeing,TRUE
10/30/2015,gun,52,Male,White,Old Town,FL,FALSE,attack,Not fleeing,FALSE
3/30/2016,gun,52,Male,White,Jackson,GA,FALSE,attack,Not fleeing,FALSE
1/23/2017,gun,52,Male,White,Brooklet,GA,FALSE,attack,Foot,FALSE
9/4/2017,chair,52,Male,White,Columbus,GA,FALSE,attack,Not fleeing,FALSE
9/26/2016,gun,52,Male,White,Garden City,ID,FALSE,attack,Other,FALSE
12/27/2015,undetermined,52,Male,White,Franklin,LA,FALSE,undetermined,Not fleeing,FALSE
4/5/2016,knife,52,Male,White,West Springfield,MA,TRUE,other,Not fleeing,FALSE
12/14/2015,knife,52,Male,White,Middle River,MD,TRUE,other,Not fleeing,FALSE
2/10/2016,knife,52,Male,White,Roseville,MN,TRUE,attack,Not fleeing,TRUE
7/20/2017,gun,52,Male,White,Neosho,MO,FALSE,attack,Not fleeing,FALSE
3/16/2015,gun,52,Male,White,Gastonia,NC,TRUE,attack,Not fleeing,FALSE
6/30/2015,gun,52,Male,White,Franklin,NC,FALSE,attack,Not fleeing,FALSE
12/19/2016,undetermined,52,Male,White,Granite Falls,NC,FALSE,undetermined,Not fleeing,FALSE
5/20/2015,knife,52,Male,White,Green,OH,FALSE,other,Not fleeing,FALSE
4/15/2016,gun,52,Male,White,Cache,OK,TRUE,attack,Not fleeing,FALSE
12/6/2016,gun,52,Male,White,Portland,OR,FALSE,attack,Not fleeing,FALSE
5/4/2016,vehicle,52,Male,White,Philadelphia,PA,FALSE,other,Not fleeing,FALSE
11/13/2015,toy weapon,52,Male,White,Gibson County,TN,FALSE,attack,Not fleeing,FALSE
4/13/2016,gun,52,Male,White,Llano,TX,FALSE,attack,Not fleeing,FALSE
3/17/2016,gun,53,Male,Asian,Tampa,FL,FALSE,attack,Not fleeing,FALSE
1/2/2015,gun,53,Male,Asian,Shelton,WA,TRUE,attack,Not fleeing,FALSE
10/19/2015,vehicle,53,Male,Black,Los Angeles,CA,FALSE,attack,Not fleeing,FALSE
